hl;pot;vaz;rend
42.1797952902345;70.1917993739853;224.368791603162;76
42.3738269401234;70.6042526334123;224.653770788303;76
42.5733220694795;70.6835220956182;223.852104925337;76
42.7700402428268;70.7350910354343;222.985076679106;76
42.9695353721829;70.8143604976401;222.198550077497;76
43.166266464466;70.921441557742;221.520339387133;76
43.3657745127579;71.0562231402338;220.920263846234;76
43.5625314429125;71.2743284409073;220.597489649926;76
43.7593012920029;71.5479458618666;220.448593145073;76
43.9560840600292;71.8770754031118;220.471239367295;76
44.1501027909823;72.234016542253;220.592420501559;76
44.3496495960816;72.5353344856022;220.515928913679;76
44.5491834822451;72.7811403086655;220.272179024885;76
44.7487109089408;72.999190071586;219.947005473242;76
44.9427360993618;73.38388727087;220.15154904864;76
45.1312461345724;73.8797197862319;220.713275154792;76
45.3252907033971;74.3476851659448;221.160413799653;76
45.522092849827;74.7600828876187;221.425734933676;76
45.7133733815786;75.2558598652275;221.961469954626;76
45.9019027951929;75.8349605610181;222.750822928311;76
46.0904386682751;76.4418173169517;223.614881667097;76
46.2817321189625;76.9931064148463;224.296645712377;76
46.4757766877872;77.4610717945591;224.717754446066;76
46.6698277160798;77.9567932344149;225.215516900461;76
46.8611082478314;78.4525702120237;225.722661191858;76
47.0551463571882;78.8927795315936;226.053205377142;76
47.2491780070771;79.3052327910206;226.301862170436;76
47.4432031974981;79.6899299903047;226.469636374384;76
47.6399924249923;80.0468155916927;226.544183757414;76
47.8340240748812;80.4592688511197;226.787808749651;76
48.0280751031738;80.9549902909754;227.263130564544;76
48.2193685538612;81.5062793888701;227.903025604998;76
48.410636166677;81.9465442461931;228.228772694322;76
48.6074383131069;82.358941967867;228.448634210722;76
48.8014828819316;82.8269073475798;228.833165244251;76
48.9927698731511;83.3504403853315;229.380474116726;76
49.1840568643706;83.8739734230833;229.923525793916;76
49.3781014331953;84.3419388027961;230.29777043704;76
49.5721395425521;84.782148122366;230.593623301236;76
49.7661905708447;85.2778695622217;231.03750436473;76
49.9574775620642;85.8014025999734;231.565803981298;76
50.1515285903568;86.2971240398291;232.002512842455;76
50.3483371962546;86.737277821646;232.27431971882;76
50.5451264237488;87.094163423034;232.321982822706;76
50.741909191775;87.4232929642792;232.295554190826;76
50.9386984192691;87.7801785656673;232.342766997022;76
51.1354811872953;88.1093081069125;232.316461794155;76
51.3322510363858;88.3829255278718;232.144609844954;76
51.5290015070725;88.5732747684025;231.756282364058;76
51.7285224743002;88.76356847118;231.358372453245;76
51.9252858639227;89.0094298319964;231.120071833686;76
52.1220492535453;89.2552911928129;230.88357040807;76
52.3215766802409;89.4733409557333;230.564995129349;76
52.5183465293313;89.7469583766926;230.403586552607;76
52.7151228378896;90.0483318577949;230.314345717822;76
52.911899146448;90.3497053388972;230.225768646097;76
53.1086560766026;90.5678106395707;229.926537130792;76
53.3081770438303;90.7581043423482;229.54726662584;76
53.504933973985;90.9762096430218;229.252746429503;76
53.7044743196164;91.249771526228;229.087744673268;76
53.9012441687068;91.5233889471874;228.935870011688;76
54.0980010988614;91.7414942478609;228.646802267585;76
54.294764488484;91.9873556086774;228.428728017467;76
54.4915343375744;92.2609730296367;228.28087828802;76
54.6883106461327;92.562346510739;228.202495123122;76
54.8850804952231;92.8359639316983;228.056516603564;76
55.0846079219188;93.0540136946188;227.764161139655;76
55.2813648520734;93.2721189952923;227.485451571998;76
55.478121782228;93.4902242959659;227.208718929197;76
55.6776621278595;93.7637861791721;227.05689023698;76
55.8744384364178;94.0651596602744;226.984481616255;76
56.0711953665724;94.2832649609479;226.71243394814;76
56.2679458372591;94.4736142014785;226.375806337128;76
56.4647156863496;94.7472316224379;226.240277353643;76
56.6587279578348;95.0764167014361;226.248926004486;76
56.855510725861;95.4055462426813;226.246358684168;76
57.0551027472356;95.9011566070309;226.62608379394;76
57.2463768195193;96.3691775244968;226.971165816433;76
57.4320259256383;96.476480735611;226.489387552234;76
57.6121017413358;96.445114721517;225.708053749694;76
57.7978283610696;96.8854906543462;226.010055991192;76
57.9891153522891;97.4090236920979;226.481768683263;76
58.1831728400496;97.9325011920965;226.939444208738;76
58.3744792096728;98.539302410277;227.597247386743;76
58.5630021638192;99.0906470459247;228.133925232975;76
58.7570208947723;99.4475881850659;228.199678310444;76
58.9537584465233;99.5824253053107;227.746516227103;76
59.1312640091846;100.4115526934;228.953380829371;76
59.2311569118904;101.075698777718;230.079051277349;76
42.1393101137905;74.8001384240047;233.192463677019;78
42.3333611420831;75.2958598638604;233.661885123174;78
42.5328433525035;75.3196172057805;232.639372637182;78
42.7322932655843;75.204594246986;231.199932346732;78
42.92898560106;75.1451389462304;229.958674099694;78
43.1257102338751;75.2244639461894;229.151324368535;78
43.325224741635;75.387001588824;228.588920365653;78
43.5219687528538;75.5495947692118;228.046355957941;78
43.7214897200815;75.7398884719893;227.577457157897;78
43.9182660286399;76.0412619530916;227.45928049554;78
44.1122912190609;76.4259591523756;227.604483300692;78
44.3090998249587;76.8661129341925;227.898529551973;78
44.5058955119207;77.2507545957234;228.026182637955;78
44.6999142428738;77.6076957348646;228.085475066568;78
44.8967099298358;77.9923373963956;228.211197526952;78
45.0907351202568;78.3770345956797;228.350014016965;78
45.2875308072189;78.7616762572107;228.47350197516;78
45.4843264941809;79.1463179187417;228.59592134998;78
45.6783581440698;79.5587711781687;228.811112018909;78
45.8723962534266;79.9989804977386;229.103938802059;78
46.0664408222513;80.4669458774514;229.473420534654;78
46.2604789316081;80.9071551970213;229.761012739605;78
46.4545299599007;81.402876636877;230.203123857909;78
